Date,Season,Time,Lat,Long,Name,Sex_from_sightings,Diseased.Visual.Sighting,Location,Body.Temp..Celcius.,nindividuals_inHR_perseason,HR50_area_perseason,density50_per_season,Diseased.Visual.catch,PCR.Diseased,Sex_from_catch,Torso..mms.,Weight..gms.,Health_Visual_combined,Health_Status
30/09/2019,10,7am-10am,739,5,Aliona,Female,No,Rforest,27.8,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
8/10/2019,10,7am-10am,746,8,Aliona,Female,No,Rforest,25.1,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
8/10/2019,10,1pm-3pm,743,17,Aliona,Female,No,Rforest,25.7,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
16/10/2019,10,1pm-3pm,737,7,Aliona,Female,No,Rforest,27.9,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
25/10/2019,10,7am-10am,743,7,Aliona,Female,No,Rforest,22.6,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
29/10/2019,10,7am-10am,743,10,Aliona,Female,No,Rforest,30,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
29/10/2019,10,1pm-3pm,745,10,Aliona,Female,No,Rforest,25.8,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
31/10/2019,10,7am-10am,742,13,Aliona,Female,No,Rforest,29.6,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
31/10/2019,10,1pm-3pm,747,3,Aliona,Female,No,Rforest,23.1,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
4/11/2019,10,1pm-3pm,745,9,Aliona,Female,No,Rforest,26.4,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
8/11/2019,10,1pm-3pm,745,12,Aliona,Female,No,Rforest,30.5,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
16/11/2019,10,1pm-3pm,739,23,Aliona,Female,No,Rforest,32.8,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
17/11/2019,10,7am-10am,747,2,Aliona,Female,No,Rforest,29.4,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
26/11/2019,10,1pm-3pm,744,14,Aliona,Female,No,Rforest,30.6,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
27/11/2019,10,7am-10am,746,6,Aliona,Female,No,Rforest,29.3,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
29/11/2019,10,1pm-3pm,743,17,Aliona,Female,No,Rforest,29,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
6/12/2019,10,7am-10am,741,2,Aliona,Female,No,Rforest,34.5,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
12/12/2019,10,7am-10am,741,17,Aliona,Female,No,Rforest,27,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
12/12/2019,10,1pm-3pm,742,13,Aliona,Female,No,Rforest,29.7,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
13/12/2019,10,7am-10am,743,6,Aliona,Female,No,Rforest,26.7,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
17/12/2019,10,1pm-3pm,743,12,Aliona,Female,No,Rforest,26.6,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
18/12/2019,10,1pm-3pm,738,3,Aliona,Female,No,Rforest,28.8,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
20/12/2019,10,1pm-3pm,747,11,Aliona,Female,No,Rforest,26.7,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
16/01/2020,10,1pm-3pm,735,12,Aliona,Female,No,Rforest,22.5,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
22/01/2020,10,1pm-3pm,744,9,Aliona,Female,No,Rforest,37.6,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
29/01/2020,10,7am-10am,734,13,Aliona,Female,No,Rforest,28.8,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
29/01/2020,10,1pm-3pm,744,17,Aliona,Female,No,Rforest,31.3,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
30/01/2020,10,7am-10am,744,13,Aliona,Female,No,Rforest,27.7,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
30/01/2020,10,1pm-3pm,747,10,Aliona,Female,No,Rforest,30.2,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
10/02/2020,10,1pm-3pm,742,14,Aliona,Female,No,Rforest,30.1,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
14/02/2020,10,1pm-3pm,747,11,Aliona,Female,No,Rforest,24.4,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
15/02/2020,10,7am-10am,744,13,Aliona,Female,No,Rforest,26.4,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
15/02/2020,10,1pm-3pm,751,11,Aliona,Female,No,Rforest,26.6,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
16/02/2020,10,1pm-3pm,748,10,Aliona,Female,No,Rforest,28.9,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
18/02/2020,10,7am-10am,741,12,Aliona,Female,No,Rforest,25.8,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
18/02/2020,10,1pm-3pm,745,9,Aliona,Female,No,Rforest,29.3,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
21/02/2020,10,7am-10am,740,5,Aliona,Female,No,Rforest,29.6,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
21/02/2020,10,1pm-3pm,743,15,Aliona,Female,No,Rforest,27.1,12,428,0.028037383,No,Yes,Female,205,112,No,Asymptomatic
16/05/2022,12,10am-1pm,783,153,Bingo,Female,No,Spec,20.9,29,327,0.088685015,No,Yes,Female,159,160,No,Asymptomatic
10/09/2022,13,7am-10am,783,157,Bulma,Female,No,Spec,782,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
23/09/2022,13,1pm-3pm,786,160,Bulma,Female,No,Spec,29.5,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
14/10/2022,13,1pm-3pm,782,154,Bulma,Female,No,Spec,31.6,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
28/11/2022,13,1pm-3pm,784,152,Bulma,Female,No,Spec,31,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
13/12/2022,13,1pm-3pm,783,155,Bulma,Female,No,Spec,33.9,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
15/12/2022,13,1pm-3pm,786,153,Bulma,Female,No,Spec,29.2,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
11/01/2023,13,7am-10am,786,154,Bulma,Female,No,Spec,31.4,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
16/01/2023,13,1pm-3pm,785,154,Bulma,Female,No,Spec,24.8,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
25/01/2023,13,7am-10am,786,151,Bulma,Female,No,Spec,28,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
25/01/2023,13,1pm-3pm,784,155,Bulma,Female,No,Spec,27.4,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
30/01/2023,13,7am-10am,766,138,Bulma,Female,No,Spec,23.5,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
30/01/2023,13,1pm-3pm,783,154,Bulma,Female,No,Spec,33.3,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
8/02/2023,13,1pm-3pm,782,153,Bulma,Female,No,Spec,30.5,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
14/02/2023,13,7am-10am,786,154,Bulma,Female,No,Spec,24.5,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
16/02/2023,13,1pm-3pm,787,154,Bulma,Female,No,Spec,32.5,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
20/02/2023,13,1pm-3pm,785,154,Bulma,Female,No,Spec,31.3,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
2/03/2023,13,1pm-3pm,785,154,Bulma,Female,No,Spec,27.9,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
7/03/2023,13,7am-10am,788,155,Bulma,Female,No,Spec,35.2,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
8/03/2023,13,7am-10am,788,154,Bulma,Female,No,Spec,30.4,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
9/03/2023,13,7am-10am,788,156,Bulma,Female,No,Spec,28.1,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
13/03/2023,13,7am-10am,789,154,Bulma,Female,No,Spec,27.2,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
13/03/2023,13,1pm-3pm,787,154,Bulma,Female,No,Spec,35.9,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
15/03/2023,13,1pm-3pm,786,154,Bulma,Female,No,Spec,29.5,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
17/03/2023,13,1pm-3pm,786,154,Bulma,Female,No,Spec,31.7,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
3/04/2023,13,1pm-3pm,783,154,Bulma,Female,No,Spec,27.6,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
11/04/2023,13,1pm-3pm,785,152,Bulma,Female,No,Spec,25.8,24,306,0.078431373,No,Yes,Female,169,320,No,Asymptomatic
3/09/2019,10,7am-10am,760,91,Cotton,Male,No,Lake,24.6,38,763,0.049803408,No,Yes,Male,229,206,No,Asymptomatic
3/09/2019,10,1pm-3pm,759,91,Cotton,Male,No,Lake,27.5,38,763,0.049803408,No,Yes,Male,229,206,No,Asymptomatic
6/09/2019,10,7am-10am,758,89,Cotton,Male,No,Lake,25.1,38,763,0.049803408,No,Yes,Male,229,206,No,Asymptomatic
