Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
Abu,Female,21/10/2021,12,0,BBabs,20/12/2021,Female,NA,NA,-27.46173333,153.01725,0.011864407,11,590,0.018644068
Aloha,Female,3/11/2021,12,0,Rforest,20/12/2021,Female,NA,NA,-27.462,153.0169667,0.013289037,4,301,0.013289037
Alvy,Male,22/12/2021,12,39.4,Spec,14/12/2021,Male,NA,NA,-27.46295,153.0194167,0.03507014,33,998,0.033066132
Alvy,Male,29/10/2021,12,73,Spec,14/12/2021,Male,NA,NA,-27.46288333,153.0192333,0.03507014,33,998,0.033066132
Ariel,Female,29/10/2021,12,0,Lake,16/09/2021,Female,200,400,-27.46273333,153.0183167,0.086720867,43,369,0.116531165
Ariel,Female,29/10/2021,12,0,Lake,14/12/2021,Female,NA,NA,-27.46273333,153.0183167,0.086720867,43,369,0.116531165
Arrow,Male,29/10/2021,12,0,Spec,14/09/2021,Male,222,600,-27.46276667,153.01885,0.04601227,70,652,0.107361963
Arrow,Male,14/10/2021,12,0,Spec,14/09/2021,Male,222,600,-27.46278333,153.0188833,0.04601227,70,652,0.107361963
Arrow,Male,29/10/2021,12,0,Spec,14/12/2021,Male,NA,NA,-27.46276667,153.01885,0.04601227,70,652,0.107361963
Arrow,Male,14/10/2021,12,0,Spec,14/12/2021,Male,NA,NA,-27.46278333,153.0188833,0.04601227,70,652,0.107361963
Asgard,Female,29/10/2021,12,0,Lake,20/12/2021,Female,128,NA,-27.46245,153.018,0.087048832,45,471,0.095541401
Babybel,Female,18/02/2022,12,0,Arid,NA,NA,NA,NA,-27.46206667,153.0185167,0.025157233,8,318,0.025157233
Barbara,Male,29/10/2021,12,0,Lake,NA,NA,NA,NA,-27.46256667,153.0181167,0.04028021,44,1142,0.038528897
Basky,Female,18/02/2022,12,0,Spec,NA,NA,NA,NA,-27.46241667,153.0188833,0.038647343,17,414,0.041062802
Basky,Female,13/10/2021,12,0,Spec,NA,NA,NA,NA,-27.46246667,153.0187333,0.038647343,17,414,0.041062802
Bazinga,Female,21/10/2021,12,0,Lake,17/09/2021,Female,164,160,-27.46236667,153.0178333,0.054054054,32,407,0.078624079
Bazinga,Female,6/10/2021,12,0,Lake,17/09/2021,Female,164,160,-27.46236667,153.01785,0.054054054,32,407,0.078624079
Bazinga,Female,21/10/2021,12,0,Lake,20/09/2021,Female,179,150,-27.46236667,153.0178333,0.054054054,32,407,0.078624079
Bazinga,Female,6/10/2021,12,0,Lake,20/09/2021,Female,179,150,-27.46236667,153.01785,0.054054054,32,407,0.078624079
Bazinga,Female,21/10/2021,12,0,Lake,17/12/2021,Female,NA,NA,-27.46236667,153.0178333,0.054054054,32,407,0.078624079
Bazinga,Female,6/10/2021,12,0,Lake,17/12/2021,Female,NA,NA,-27.46236667,153.01785,0.054054054,32,407,0.078624079
Beetroot,Female,21/10/2021,12,0,Rforest,NA,NA,NA,NA,-27.4621,153.0173833,0.027303754,14,293,0.04778157
Beetroot,Female,15/10/2021,12,15.7,Rforest,NA,NA,NA,NA,-27.46203333,153.01735,0.027303754,14,293,0.04778157
Boursin,Female,27/10/2021,12,716,BBabs,16/12/2021,Female,NA,NA,-27.46193333,153.01765,0.029126214,14,309,0.045307443
Callie,Female,11/03/2022,12,0,Spec,14/09/2021,Female,213,390,-27.46275,153.0190333,0.078034682,39,346,0.112716763
Callie,Female,29/10/2021,12,0,Spec,14/09/2021,Female,213,390,-27.4628,153.0189333,0.078034682,39,346,0.112716763
Callie,Female,11/03/2022,12,0,Spec,14/12/2021,Female,NA,NA,-27.46275,153.0190333,0.078034682,39,346,0.112716763
Callie,Female,29/10/2021,12,0,Spec,14/12/2021,Female,NA,NA,-27.4628,153.0189333,0.078034682,39,346,0.112716763
Chenille,Male,21/12/2021,12,38.9,Lake,16/09/2021,Male,263,850,-27.46255,153.018,0.055478502,50,721,0.069348128
Chenille,Male,21/10/2021,12,0,Arid,16/09/2021,Male,263,850,-27.46236667,153.0180667,0.055478502,50,721,0.069348128
Chenille,Male,21/12/2021,12,38.9,Lake,20/12/2021,Male,NA,NA,-27.46255,153.018,0.055478502,50,721,0.069348128
Chenille,Male,21/10/2021,12,0,Arid,20/12/2021,Male,NA,NA,-27.46236667,153.0180667,0.055478502,50,721,0.069348128
Christmas,Female,29/10/2021,12,0,Arid,20/09/2021,Female,191,340,-27.46248333,153.0183167,0.008746356,52,686,0.075801749
Christmas,Female,29/10/2021,12,0,Arid,17/12/2021,Female,NA,NA,-27.46248333,153.0183167,0.008746356,52,686,0.075801749
Ciri,Female,27/10/2021,12,746,Lake,NA,NA,NA,NA,-27.46243333,153.018,0.09561753,23,250,0.092
CocoPops,Male,12/10/2021,12,15.6,Spec,14/12/2021,Male,NA,NA,-27.46268333,153.0194,0.028636884,25,873,0.028636884
CocoPops,Male,6/09/2021,12,0,Pground,14/12/2021,Male,NA,NA,-27.46258333,153.0196667,0.028636884,25,873,0.028636884
Copepod,Female,29/10/2021,12,0,Arid,16/12/2021,Female,NA,NA,-27.46191667,153.0185,0.026490066,8,302,0.026490066
Cozmo,Male,26/07/2022,12,10.9,Spec,15/09/2021,Male,252,605,-27.46283333,153.0191833,0.056155508,59,463,0.127429806
Cozmo,Male,26/07/2022,12,10.9,Spec,17/12/2021,Male,NA,NA,-27.46283333,153.0191833,0.056155508,59,463,0.127429806
Craggy,Female,12/10/2021,12,0,Rforest,NA,NA,NA,NA,-27.46196667,153.0172833,0.022964509,26,479,0.054279749
Crampton,Male,15/10/2021,12,0,Pground,NA,NA,NA,NA,-27.46203333,153.0190333,0.014224751,17,703,0.024182077
Crochet,Female,21/10/2021,12,0,Spec,17/12/2021,Female,NA,NA,-27.46323333,153.0193667,0.030023095,28,433,0.064665127
Crochet,Female,15/10/2021,12,0,Spec,17/12/2021,Female,NA,NA,-27.46321667,153.0192333,0.030023095,28,433,0.064665127
Croissant,Female,22/09/2021,12,0,Lake,NA,NA,NA,NA,-27.46245,153.018,0.052238806,24,402,0.059701493
