Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
Abu,Female,9/03/2022,12,27,Rforest,20/12/2021,Female,NA,NA,-27.46196667,153.0171667,0.011864407,11,590,0.018644068
Abu,Female,7/02/2022,12,21.1,Rforest,20/12/2021,Female,NA,NA,-27.46205,153.0172667,0.011864407,11,590,0.018644068
Abu,Female,1/02/2022,12,25.8,Rforest,20/12/2021,Female,NA,NA,-27.46198333,153.0171167,0.011864407,11,590,0.018644068
Abu,Female,17/01/2022,12,29.1,Rforest,20/12/2021,Female,NA,NA,-27.46205,153.0172333,0.011864407,11,590,0.018644068
Abu,Female,29/12/2021,12,19,Rforest,20/12/2021,Female,NA,NA,-27.46208333,153.01725,0.011864407,11,590,0.018644068
Abu,Female,22/12/2021,12,26.4,Rforest,20/12/2021,Female,NA,NA,-27.46201667,153.0171333,0.011864407,11,590,0.018644068
Abu,Female,22/12/2021,12,30.9,Rforest,20/12/2021,Female,NA,NA,-27.46206667,153.0173333,0.011864407,11,590,0.018644068
Abu,Female,13/12/2021,12,29.5,Rforest,20/12/2021,Female,NA,NA,-27.46205,153.01735,0.011864407,11,590,0.018644068
Abu,Female,6/12/2021,12,27,Rforest,20/12/2021,Female,NA,NA,-27.46208333,153.0173333,0.011864407,11,590,0.018644068
Abu,Female,29/11/2021,12,23.6,Rforest,20/12/2021,Female,NA,NA,-27.46205,153.0172333,0.011864407,11,590,0.018644068
Abu,Female,24/11/2021,12,24.7,Rforest,20/12/2021,Female,NA,NA,-27.4621,153.0172667,0.011864407,11,590,0.018644068
Abu,Female,21/10/2021,12,0,BBabs,20/12/2021,Female,NA,NA,-27.46173333,153.01725,0.011864407,11,590,0.018644068
Abuela,Female,8/04/2016,6,32.8,Spec,NA,NA,NA,NA,-27.46265,153.0189333,0.060693642,25,346,0.072254335
Abuela,Female,18/03/2016,6,32.5,Spec,NA,NA,NA,NA,-27.46263333,153.0189333,0.060693642,25,346,0.072254335
Abuela,Female,16/03/2016,6,31.3,Spec,NA,NA,NA,NA,-27.46268333,153.0189167,0.060693642,25,346,0.072254335
